rating_band,chart_id,record_count,player_count,best50_count,best50_user_count,band_user_count,user_count,profile_count,total_users_in_band,best50_rate,avg_achievement,median_achievement,sss_rate,sss_plus_rate,sssplus_rate,avg_chart_rating,max_chart_rating,title,difficulty,level,internal_level,chart_type,category,is_new,best50_section
13000-13499,タカハせ！名人マン__std__master,2,2,2,2,2,2,2,2,1.0,99.2534,99.2534,0.0,0.0,0.0,278.5,279,タカハせ！名人マン,master,13,13.5,std,maimai,False,old
13000-13499,サイエンス__dx__master,2,2,2,2,2,2,2,2,1.0,99.5142,99.5142,0.0,0.0,0.0,270.5,274,サイエンス,master,13,13.0,dx,niconico＆ボーカロイド,False,new
13000-13499,INTERNET OVERDOSE__dx__master,2,2,2,2,2,2,2,2,1.0,97.9478,97.9478,0.0,0.0,0.0,266.0,269,INTERNET OVERDOSE,master,13,13.5,dx,POPS＆アニメ,False,old
13000-13499,ウミユリ海底譚__std__master,1,1,1,1,2,2,2,2,0.5,100.204,100.204,1.0,0.0,0.0,290.0,290,ウミユリ海底譚,master,13,13.4,std,niconico＆ボーカロイド,False,old
13000-13499,ワールドワイドワンダー__dx__master,1,1,1,1,2,2,2,2,0.5,100.1486,100.1486,1.0,0.0,0.0,281.0,281,ワールドワイドワンダー,master,13,13.0,dx,niconico＆ボーカロイド,False,old
13000-13499,玩具狂奏曲 -終焉-__dx__expert,1,1,1,1,2,2,2,2,0.5,99.4859,99.4859,0.0,0.0,0.0,275.0,275,玩具狂奏曲 -終焉-,expert,13,13.3,dx,オンゲキ＆CHUNITHM,False,old
13000-13499,QZKago Requiem__std__expert,1,1,1,1,2,2,2,2,0.5,99.9204,99.9204,0.0,0.0,0.0,274.0,274,QZKago Requiem,expert,13,13.0,std,maimai,False,old
13000-13499,Xaleid◆scopiX__dx__expert,1,1,1,1,2,2,2,2,0.5,98.3458,98.3458,0.0,0.0,0.0,273.0,273,Xaleid◆scopiX,expert,13+,13.7,dx,maimai,False,new
13000-13499,Garakuta Doll Play__std__expert,1,1,1,1,2,2,2,2,0.5,99.0907,99.0907,0.0,0.0,0.0,270.0,270,Garakuta Doll Play,expert,13,13.1,std,maimai,False,old
13000-13499,系ぎて__dx__expert,1,1,1,1,2,2,2,2,0.5,97.472,97.472,0.0,0.0,0.0,269.0,269,系ぎて,expert,13+,13.8,dx,maimai,False,old
13000-13499,Retribution ～ Cycle of Redemption ～__dx__expert,1,1,1,1,2,2,2,2,0.5,99.1301,99.1301,0.0,0.0,0.0,268.0,268,Retribution ～ Cycle of Redemption ～,expert,13,13.0,dx,ゲーム＆バラエティ,False,new
13000-13499,勝手に生きましょ__dx__master,1,1,1,1,2,2,2,2,0.5,99.1496,99.1496,0.0,0.0,0.0,268.0,268,勝手に生きましょ,master,13,13.0,dx,POPS＆アニメ,False,new
