rating_band,internal_level,record_count,player_count,best50_count,avg_achievement,median_achievement,sss_rate,sss_plus_rate,avg_chart_rating,band_user_count,total_users_in_band,coverage_rate,user_count,profile_count,sssplus_rate
13000-13499,13.0,18,4,18,99.0493,99.126,0.0556,0.0,266.0556,4,4,1.0,4,4,0.0
13000-13499,13.1,4,3,4,98.5673,98.9468,0.0,0.0,262.25,4,4,0.75,4,4,0.0
13000-13499,13.2,4,2,4,97.6463,97.5462,0.0,0.0,258.25,4,4,0.5,4,4,0.0
13000-13499,13.3,5,2,5,98.1415,97.7921,0.0,0.0,263.6,4,4,0.5,4,4,0.0
13000-13499,13.4,5,2,5,98.4714,98.513,0.2,0.0,270.8,4,4,0.5,4,4,0.0
13000-13499,13.5,5,3,5,98.5272,98.2335,0.0,0.0,271.6,4,4,0.75,4,4,0.0
13000-13499,13.7,7,2,7,97.7036,97.2728,0.0,0.0,269.4286,4,4,0.5,4,4,0.0
13000-13499,13.8,2,2,2,97.8814,97.8814,0.0,0.0,271.5,4,4,0.5,4,4,0.0
13500-13999,13.0,19,5,19,100.1332,100.1571,0.6842,0.1053,279.4737,6,6,0.8333,6,6,0.1053
13500-13999,13.1,8,4,8,99.2706,99.1746,0.125,0.0,270.75,6,6,0.6667,6,6,0.0
13500-13999,13.2,13,4,13,99.6118,99.7501,0.3846,0.0,276.8462,6,6,0.6667,6,6,0.0
13500-13999,13.3,11,4,11,99.1381,99.2571,0.0909,0.0,274.0909,6,6,0.6667,6,6,0.0
13500-13999,13.4,22,5,22,99.1227,99.1664,0.0909,0.0,275.2727,6,6,0.8333,6,6,0.0
13500-13999,13.5,10,5,10,98.8673,98.9254,0.1,0.0,274.0,6,6,0.8333,6,6,0.0
13500-13999,13.6,3,2,3,99.6743,100.0333,0.6667,0.3333,292.3333,6,6,0.3333,6,6,0.3333
13500-13999,13.7,14,4,14,99.038,98.9321,0.1429,0.0,280.7857,6,6,0.6667,6,6,0.0
13500-13999,13.8,10,2,10,98.4751,98.5941,0.0,0.0,275.7,6,6,0.3333,6,6,0.0
13500-13999,13.9,5,2,5,98.134,97.6047,0.0,0.0,276.4,6,6,0.3333,6,6,0.0
13500-13999,14.0,2,2,2,98.3801,98.3801,0.0,0.0,283.0,6,6,0.3333,6,6,0.0
13500-13999,14.2,1,1,1,100.3615,100.3615,1.0,0.0,307.0,6,6,0.1667,6,6,0.0
13500-13999,14.5,1,1,1,97.7778,97.7778,0.0,0.0,283.0,6,6,0.1667,6,6,0.0
13500-13999,14.7,1,1,1,97.0171,97.0171,0.0,0.0,285.0,6,6,0.1667,6,6,0.0
14000-14499,13.0,55,10,55,100.5088,100.5789,1.0,0.7091,288.7455,10,10,1.0,10,10,0.7091
14000-14499,13.1,15,7,15,100.2694,100.2274,0.8667,0.2,284.4,10,10,0.7,10,10,0.2
14000-14499,13.2,38,10,38,100.1873,100.1287,0.6842,0.2105,285.3421,10,10,1.0,10,10,0.2105
14000-14499,13.3,22,10,22,100.258,100.3813,0.8182,0.2727,289.0455,10,10,1.0,10,10,0.2727
14000-14499,13.4,27,9,27,99.9972,100.0255,0.5556,0.1111,286.9259,10,10,0.9,10,10,0.1111
14000-14499,13.5,22,8,22,99.9361,100.0077,0.5,0.1364,288.1818,10,10,0.8,10,10,0.1364
14000-14499,13.6,17,8,17,99.544,99.4867,0.1765,0.0,284.8824,10,10,0.8,10,10,0.0
14000-14499,13.7,32,9,32,99.7045,99.7554,0.125,0.0,287.75,10,10,0.9,10,10,0.0
14000-14499,13.8,23,8,23,99.2398,99.2855,0.087,0.0435,285.5652,10,10,0.8,10,10,0.0435
14000-14499,14.0,3,2,3,99.4566,99.5797,0.0,0.0,292.0,10,10,0.2,10,10,0.0
14000-14499,14.1,1,1,1,98.0579,98.0579,0.0,0.0,280.0,10,10,0.1,10,10,0.0
14500-14999,13.0,144,18,144,100.6205,100.6078,1.0,0.9792,291.7708,18,18,1.0,18,18,0.9792
14500-14999,13.1,38,12,38,100.5836,100.5883,1.0,0.9474,293.4211,18,18,0.6667,18,18,0.9474
14500-14999,13.2,70,17,70,100.6009,100.5884,1.0,0.9571,296.5143,18,18,0.9444,18,18,0.9571
14500-14999,13.3,70,18,70,100.5009,100.551,0.9857,0.7429,295.9429,18,18,1.0,18,18,0.7429
14500-14999,13.4,72,18,72,100.4802,100.5469,1.0,0.6111,296.6667,18,18,1.0,18,18,0.6111
14500-14999,13.5,51,17,51,100.4636,100.5078,0.9804,0.5686,298.0392,18,18,0.9444,18,18,0.5686
14500-14999,13.6,53,17,53,100.2433,100.1852,0.8491,0.3208,297.1132,18,18,0.9444,18,18,0.3208
14500-14999,13.7,91,17,91,100.1925,100.2177,0.8352,0.1868,296.9451,18,18,0.9444,18,18,0.1868
14500-14999,13.8,66,15,66,100.0948,100.0952,0.6667,0.1667,297.4697,18,18,0.8333,18,18,0.1667
14500-14999,13.9,10,5,10,99.6877,99.7212,0.3,0.0,292.4,18,18,0.2778,18,18,0.0
14500-14999,14.0,5,5,5,99.3649,99.3697,0.0,0.0,290.6,18,18,0.2778,18,18,0.0
14500-14999,14.1,8,4,8,99.4164,99.5887,0.125,0.0,293.375,18,18,0.2222,18,18,0.0
14500-14999,14.2,4,2,4,99.5986,99.5685,0.0,0.0,295.75,18,18,0.1111,18,18,0.0
14500-14999,14.3,2,2,2,99.0866,99.0866,0.0,0.0,293.0,18,18,0.1111,18,18,0.0
14500-14999,14.4,3,2,3,99.0283,99.0979,0.0,0.0,294.3333,18,18,0.1111,18,18,0.0
14500-14999,14.5,4,1,4,99.2112,99.1371,0.0,0.0,298.0,18,18,0.0556,18,18,0.0
14500-14999,14.6,2,1,2,99.6622,99.6622,0.0,0.0,307.5,18,18,0.0556,18,18,0.0
14500-14999,14.7,1,1,1,99.2534,99.2534,0.0,0.0,303.0,18,18,0.0556,18,18,0.0
15000-15199,13.0,11,4,11,100.7511,100.748,1.0,1.0,292.1818,16,16,0.25,16,16,1.0
15000-15199,13.1,10,6,10,100.7107,100.6805,1.0,1.0,294.0,16,16,0.375,16,16,1.0
15000-15199,13.2,33,13,33,100.6678,100.667,1.0,1.0,297.0606,16,16,0.8125,16,16,1.0
15000-15199,13.3,78,16,78,100.6352,100.6114,1.0,1.0,299.0128,16,16,1.0,16,16,1.0
15000-15199,13.4,110,16,110,100.6488,100.6228,1.0,1.0,301.1364,16,16,1.0,16,16,1.0
15000-15199,13.5,88,16,88,100.6472,100.6366,1.0,0.9886,302.8864,16,16,1.0,16,16,0.9886
15000-15199,13.6,89,16,89,100.5705,100.561,1.0,0.8652,305.0562,16,16,1.0,16,16,0.8652
15000-15199,13.7,143,16,143,100.5425,100.5751,1.0,0.7762,305.5524,16,16,1.0,16,16,0.7762
15000-15199,13.8,126,16,126,100.4407,100.5027,1.0,0.5079,304.3889,16,16,1.0,16,16,0.5079
15000-15199,13.9,24,9,24,100.2859,100.2444,0.9583,0.2083,302.2083,16,16,0.5625,16,16,0.2083
15000-15199,14.0,22,10,22,100.1608,100.1398,0.9545,0.0909,303.0909,16,16,0.625,16,16,0.0909
15000-15199,14.1,12,7,12,100.2325,100.2346,0.8333,0.1667,306.25,16,16,0.4375,16,16,0.1667
15000-15199,14.2,11,6,11,99.9447,99.9622,0.4545,0.0,302.0909,16,16,0.375,16,16,0.0
15000-15199,14.3,5,3,5,99.9087,99.8461,0.4,0.0,303.8,16,16,0.1875,16,16,0.0
15000-15199,14.4,7,5,7,99.7547,99.6746,0.2857,0.0,302.8571,16,16,0.3125,16,16,0.0
