profile_id,profile_url,source_url,first_seen_at,last_seen_at,rating,rating_band,collected_at
aekaen,https://maimai.shiftpsh.com/profile/aekaen/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
asdf96481_,https://maimai.shiftpsh.com/profile/asdf96481_/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
bapb,https://maimai.shiftpsh.com/profile/bapb/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
blue15973,https://maimai.shiftpsh.com/profile/blue15973/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
blueberry,https://maimai.shiftpsh.com/profile/blueberry/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,,,,15845.0,15500-15999,2026-06-12 08:41:05
chana,https://maimai.shiftpsh.com/profile/chana/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,,,,15983.0,15500-15999,2026-06-12 17:39:01
cocacola,https://maimai.shiftpsh.com/profile/cocacola/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
danchoo,https://maimai.shiftpsh.com/profile/danchoo/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
dlagusdnd3,https://maimai.shiftpsh.com/profile/dlagusdnd3/home,,,,15964.0,15500-15999,2026-06-12 17:37:50
dr_emon,https://maimai.shiftpsh.com/profile/dr_emon/home,,,,16200.0,16000-16499,2026-06-13 13:04:38
eagle_1026,https://maimai.shiftpsh.com/profile/eagle_1026/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
elodysound,https://maimai.shiftpsh.com/profile/elodysound/home,,,,15774.0,15500-15999,2026-06-12 17:37:46
eoguswkehf1,https://maimai.shiftpsh.com/profile/eoguswkehf1/home,,,,16465.0,16000-16499,2026-06-12 17:37:23
eric9709,https://maimai.shiftpsh.com/profile/eric9709/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
ericchan,https://maimai.shiftpsh.com/profile/ericchan/home,,,,16121.0,16000-16499,2026-06-12 17:37:04
exodust,https://maimai.shiftpsh.com/profile/exodust/home,,,,15086.0,15000-15499,2026-06-12 17:29:37
ferb0822,https://maimai.shiftpsh.com/profile/ferb0822/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
fft_,https://maimai.shiftpsh.com/profile/fft_/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
fini,https://maimai.shiftpsh.com/profile/fini/home,,,,15785.0,15500-15999,2026-06-12 03:43:43
freqing,https://maimai.shiftpsh.com/profile/freqing/home,,,,14806.0,14500-14999,2026-06-12 17:38:33
gachi,https://maimai.shiftpsh.com/profile/gachi/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
gamecat,https://maimai.shiftpsh.com/profile/gamecat/home,,,,15988.0,15500-15999,2026-06-13 13:04:42
ganwol,https://maimai.shiftpsh.com/profile/ganwol/home,,,,15516.0,15500-15999,2026-06-12 17:37:12
genz,https://maimai.shiftpsh.com/profile/genz/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
godae,https://maimai.shiftpsh.com/profile/godae/home,,,,15111.0,15000-15499,2026-06-12 17:38:40
gogameworld,https://maimai.shiftpsh.com/profile/gogameworld/home,,,,15369.0,15000-15499,2026-06-12 17:38:49
gssc,https://maimai.shiftpsh.com/profile/gssc/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
gw1234,https://maimai.shiftpsh.com/profile/gw1234/home,,,,15969.0,15500-15999,2026-06-12 17:37:09
hanelloa,https://maimai.shiftpsh.com/profile/hanelloa/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
hibiya,https://maimai.shiftpsh.com/profile/hibiya/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
hs2565,https://maimai.shiftpsh.com/profile/hs2565/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
hyunwoo_,https://maimai.shiftpsh.com/profile/hyunwoo_/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
init,https://maimai.shiftpsh.com/profile/init/home,,,,15678.0,15500-15999,2026-06-12 17:37:53
ioaksksk,https://maimai.shiftpsh.com/profile/ioaksksk/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
iseul_12,https://maimai.shiftpsh.com/profile/iseul_12/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
jjokparis,https://maimai.shiftpsh.com/profile/jjokparis/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
john850420,https://maimai.shiftpsh.com/profile/john850420/home,,,,15141.0,15000-15499,2026-06-12 17:36:55
juzzi,https://maimai.shiftpsh.com/profile/juzzi/home,https://maimai.shiftpsh.com/,2026-06-14 02:05:18,2026-06-14 02:05:18,,,
karuma1011,https://maimai.shiftpsh.com/profile/karuma1011/home,,,,16456.0,16000-16499,2026-06-12 17:36:19
kerry970176,https://maimai.shiftpsh.com/profile/kerry970176/home,,,,16147.0,16000-16499,2026-06-12 03:40:02
kevinkong,https://maimai.shiftpsh.com/profile/kevinkong/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
kiwime,https://maimai.shiftpsh.com/profile/kiwime/home,,,,14804.0,14500-14999,2026-06-12 17:29:45
kkkka148,https://maimai.shiftpsh.com/profile/kkkka148/home,,,,15686.0,15500-15999,2026-06-12 03:40:05
kobi486486,https://maimai.shiftpsh.com/profile/kobi486486/home,,,,15530.0,15500-15999,2026-06-12 17:37:00
koi191313,https://maimai.shiftpsh.com/profile/koi191313/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
kometra,https://maimai.shiftpsh.com/profile/kometra/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
kowoo,https://maimai.shiftpsh.com/profile/kowoo/home,,,,15821.0,15500-15999,2026-06-12 17:38:27
ksjd4545,https://maimai.shiftpsh.com/profile/ksjd4545/home,,,,16110.0,16000-16499,2026-06-13 02:46:57
kwon,https://maimai.shiftpsh.com/profile/kwon/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
leekm5930,https://maimai.shiftpsh.com/profile/leekm5930/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
leeyh,https://maimai.shiftpsh.com/profile/leeyh/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
lia_0715,https://maimai.shiftpsh.com/profile/lia_0715/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
lllegal,https://maimai.shiftpsh.com/profile/lllegal/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
locket,https://maimai.shiftpsh.com/profile/locket/home,,,,15928.0,15500-15999,2026-06-12 17:37:35
lolergags,https://maimai.shiftpsh.com/profile/lolergags/home,,,,15283.0,15000-15499,2026-06-12 17:29:48
luminia_luna,https://maimai.shiftpsh.com/profile/luminia_luna/home,,,,16208.0,16000-16499,2026-06-13 02:47:02
m11411011,https://maimai.shiftpsh.com/profile/m11411011/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
madcat,https://maimai.shiftpsh.com/profile/madcat/home,,,,15066.0,15000-15499,2026-06-12 17:36:34
madera_114514,https://maimai.shiftpsh.com/profile/madera_114514/home,,,,15801.0,15500-15999,2026-06-12 17:29:52
mai_0sanity,https://maimai.shiftpsh.com/profile/mai_0sanity/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
maiowo,https://maimai.shiftpsh.com/profile/maiowo/home,,,,16234.0,16000-16499,2026-06-12 03:59:25
marco_326,https://maimai.shiftpsh.com/profile/marco_326/home,,,,15506.0,15500-15999,2026-06-12 17:36:43
meatball,https://maimai.shiftpsh.com/profile/meatball/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
ming415,https://maimai.shiftpsh.com/profile/ming415/home,,,,15201.0,15000-15499,2026-06-13 02:47:14
mistyr4in,https://maimai.shiftpsh.com/profile/mistyr4in/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
miyago9267,https://maimai.shiftpsh.com/profile/miyago9267/home,,,,15193.0,15000-15499,2026-06-13 02:47:21
nabid,https://maimai.shiftpsh.com/profile/nabid/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
nano2470,https://maimai.shiftpsh.com/profile/nano2470/home,,,,15394.0,15000-15499,2026-06-13 13:04:54
narote,https://maimai.shiftpsh.com/profile/narote/home,,,,15535.0,15500-15999,2026-06-12 17:38:37
nekronfeonix,https://maimai.shiftpsh.com/profile/nekronfeonix/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
nishiyou,https://maimai.shiftpsh.com/profile/nishiyou/home,,,,16157.0,16000-16499,2026-06-12 03:40:16
nmsl_7414,https://maimai.shiftpsh.com/profile/nmsl_7414/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
nyanlythm,https://maimai.shiftpsh.com/profile/nyanlythm/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
patlau126,https://maimai.shiftpsh.com/profile/patlau126/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
peko,https://maimai.shiftpsh.com/profile/peko/home,,,,15490.0,15000-15499,2026-06-12 17:36:47
pg0614,https://maimai.shiftpsh.com/profile/pg0614/home,,,,14651.0,14500-14999,2026-06-12 17:36:28
puwa,https://maimai.shiftpsh.com/profile/puwa/home,,,,15464.0,15000-15499,2026-06-12 03:59:32
r3kt,https://maimai.shiftpsh.com/profile/r3kt/home,https://maimai.shiftpsh.com/,2026-06-14 01:56:45,2026-06-14 01:56:45,,,
ra_v,https://maimai.shiftpsh.com/profile/ra_v/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
ragon0802,https://maimai.shiftpsh.com/profile/ragon0802/home,,,,15183.0,15000-15499,2026-06-12 03:40:21
raily202,https://maimai.shiftpsh.com/profile/raily202/home,,,,16069.0,16000-16499,2026-06-12 03:59:40
ratsi,https://maimai.shiftpsh.com/profile/ratsi/home,,,,14602.0,14500-14999,2026-06-12 17:38:57
rhythm_79,https://maimai.shiftpsh.com/profile/rhythm_79/home,,,,15960.0,15500-15999,2026-06-12 03:40:24
rifuru_yt,https://maimai.shiftpsh.com/profile/rifuru_yt/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
rion_0122,https://maimai.shiftpsh.com/profile/rion_0122/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
rozenbo,https://maimai.shiftpsh.com/profile/rozenbo/home,,,,16340.0,16000-16499,2026-06-13 13:05:02
ruchiru,https://maimai.shiftpsh.com/profile/ruchiru/home,https://maimai.shiftpsh.com/,2026-06-14 13:23:58,2026-06-14 13:23:58,,,
rumex,https://maimai.shiftpsh.com/profile/rumex/home,,,,14647.0,14500-14999,2026-06-12 17:36:51
saeyan,https://maimai.shiftpsh.com/profile/saeyan/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
sdvxonly,https://maimai.shiftpsh.com/profile/sdvxonly/home,,,,15378.0,15000-15499,2026-06-12 17:37:40
shiftpsh,https://maimai.shiftpsh.com/profile/shiftpsh/home,,,,16106.0,16000-16499,2026-06-12 03:24:42
sicklenickle,https://maimai.shiftpsh.com/profile/sicklenickle/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
simon115,https://maimai.shiftpsh.com/profile/simon115/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
smallab,https://maimai.shiftpsh.com/profile/smallab/home,,,,15367.0,15000-15499,2026-06-12 17:29:57
soonjo,https://maimai.shiftpsh.com/profile/soonjo/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
sotm_4g,https://maimai.shiftpsh.com/profile/sotm_4g/home,,,,15989.0,15500-15999,2026-06-12 04:04:52
sovuccino,https://maimai.shiftpsh.com/profile/sovuccino/home,,,,15303.0,15000-15499,2026-06-12 17:39:08
start0_0,https://maimai.shiftpsh.com/profile/start0_0/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
ta_chang,https://maimai.shiftpsh.com/profile/ta_chang/home,,,,15617.0,15500-15999,2026-06-13 02:47:31
taotsai,https://maimai.shiftpsh.com/profile/taotsai/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
theonstar,https://maimai.shiftpsh.com/profile/theonstar/home,https://maimai.shiftpsh.com/,2026-06-14 02:05:18,2026-06-14 02:05:18,,,
toasterbath00,https://maimai.shiftpsh.com/profile/toasterbath00/home,https://maimai.shiftpsh.com/,2026-06-13 15:58:07,2026-06-13 15:58:07,,,
tofu0417tw,https://maimai.shiftpsh.com/profile/tofu0417tw/home,,,,15638.0,15500-15999,2026-06-12 17:38:46
treff,https://maimai.shiftpsh.com/profile/treff/home,,,,15401.0,15000-15499,2026-06-12 17:38:11
tsdupont,https://maimai.shiftpsh.com/profile/tsdupont/home,,,,14534.0,14500-14999,2026-06-12 17:30:05
ttteesssst,https://maimai.shiftpsh.com/profile/ttteesssst/home,,,,15414.0,15000-15499,2026-06-13 02:47:45
vanya,https://maimai.shiftpsh.com/profile/vanya/home,,,,16312.0,16000-16499,2026-06-13 13:05:12
vhck,https://maimai.shiftpsh.com/profile/vhck/home,,,,16318.0,16000-16499,2026-06-12 04:04:58
wani,https://maimai.shiftpsh.com/profile/wani/home,https://maimai.shiftpsh.com/,2026-06-13 13:55:03,2026-06-13 13:55:03,,,
wintering,https://maimai.shiftpsh.com/profile/wintering/home,,,,16024.0,16000-16499,2026-06-12 17:30:08
yue0307,https://maimai.shiftpsh.com/profile/yue0307/home,,,,16000.0,16000-16499,2026-06-12 17:30:13
yuyu1777,https://maimai.shiftpsh.com/profile/yuyu1777/home,https://maimai.shiftpsh.com/,2026-06-14 00:57:32,2026-06-14 00:57:32,,,
zeroclown00,https://maimai.shiftpsh.com/profile/zeroclown00/home,,,,15387.0,15000-15499,2026-06-12 03:40:34
zxcczx14,https://maimai.shiftpsh.com/profile/zxcczx14/home,https://maimai.shiftpsh.com/,2026-06-13 23:59:02,2026-06-13 23:59:02,,,
zz89659522zz,https://maimai.shiftpsh.com/profile/zz89659522zz/home,,,,16201.0,16000-16499,2026-06-12 08:41:11
zzune1004,https://maimai.shiftpsh.com/profile/zzune1004/home,,,,15456.0,15000-15499,2026-06-12 17:37:19
