profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Zitronectar__dx__master,Zitronectar,Zitronectar,Zitronectar,master,14,14.4,dx,100.5283,SSS+,321,324,new,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Destined Marionette__dx__master,Destined Marionette,Destined Marionette,Destined Marionette,master,14,14.3,dx,100.569,SSS+,319,321,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,ATLAS RUSH__dx__master,ATLAS RUSH,ATLAS RUSH,ATLAS RUSH,master,14+,14.7,dx,100.0087,SSS,317,317,new,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Synthesis.__dx__master,Synthesis.,Synthesis.,Synthesis.,master,14,14.1,dx,100.7208,SSS+,317,317,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,DATAERR0R__dx__master,DATAERR0R,DATAERR0R,DATAERR0R,master,14,14.0,dx,100.7559,SSS+,315,315,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Unwelcome School__dx__remaster,Unwelcome School,Unwelcome School,Unwelcome School,remaster,14,14.1,dx,100.7302,SSS+,315,317,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Ref:rain (for 7th Heaven)__dx__master,Ref:rain (for 7th Heaven),Ref:rain (for 7th Heaven),Ref:rain (for 7th Heaven),master,14,14.0,dx,100.5475,SSS+,315,315,new,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,MYTH Re：LEASE__dx__master,MYTH Re：LEASE,MYTH Re：LEASE,MYTH Re:LEASE,master,14,14.5,dx,100.2133,SSS,313,313,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Retribution ～ Cycle of Redemption ～__dx__master,Retribution ～ Cycle of Redemption ～,Retribution ～ Cycle of Redemption ～,Retribution ~ Cycle of Redemption ~,master,14,14.4,dx,100.0479,SSS,311,311,new,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,ありきたりな恋の歌__dx__master,ありきたりな恋の歌,ありきたりな恋の歌,ありきたりな恋の歌,master,13+,13.7,dx,100.695,SSS+,310,308,new,niconico＆ボーカロイド,,,False
